"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2016","247.58","263.60","263.60","232.57","","-6.12%"
"01/12/2015","263.71","269.05","271.67","256.80","","-1.87%"
"01/11/2015","268.73","270.90","274.59","262.39","","-0.98%"
"01/10/2015","271.38","251.99","272.94","251.07","","7.72%"
"01/09/2015","251.94","262.12","263.71","246.28","","-3.80%"
"01/08/2015","261.89","281.15","282.03","249.56","","-6.98%"
"01/07/2015","281.55","279.40","285.42","272.31","","0.73%"
"01/06/2015","279.50","286.76","289.29","279.10","","-2.53%"
"01/05/2015","286.75","287.85","292.79","284.52","","-0.34%"
"01/04/2015","287.73","279.94","292.73","278.80","","2.74%"
"01/03/2015","280.05","284.83","286.36","274.44","","-1.76%"
"01/02/2015","285.07","270.51","286.34","269.86","","5.36%"
"01/01/2015","270.57","274.80","277.08","265.67","","-1.56%"
"01/12/2014","274.85","280.23","280.54","264.64","","-2.03%"
"01/11/2014","280.55","276.01","281.98","273.82","","1.51%"
"01/10/2014","276.36","274.72","276.37","255.53","","0.60%"
"01/09/2014","274.72","284.08","286.05","274.19","","-3.38%"
"01/08/2014","284.33","278.79","284.94","272.45","","2.01%"
"01/07/2014","278.74","282.46","286.09","278.73","","-1.32%"
"01/06/2014","282.47","277.49","283.35","277.25","","1.76%"
"01/05/2014","277.59","272.65","277.78","270.69","","1.84%"
"01/04/2014","272.59","270.47","273.71","264.76","","0.73%"
"01/03/2014","270.61","269.17","272.12","263.75","","0.31%"
"01/02/2014","269.79","257.89","270.46","251.86","","4.54%"
"01/01/2014","258.08","268.94","268.99","256.55","","-4.07%"
"01/12/2013","269.03","264.63","269.04","257.73","","1.61%"
"01/11/2013","264.77","261.37","265.47","257.49","","1.23%"
"01/10/2013","261.55","251.57","264.17","247.90","","3.92%"
"01/09/2013","251.68","239.79","257.99","239.77","","5.01%"
"01/08/2013","239.68","245.53","249.59","239.24","","-2.28%"
"01/07/2013","245.27","234.43","248.49","233.53","","4.65%"
"01/06/2013","234.37","242.08","243.18","227.05","","-3.08%"
"01/05/2013","241.82","243.13","251.96","240.85","","-0.58%"
"01/04/2013","243.22","236.93","243.22","232.50","","2.66%"
"01/03/2013","236.93","233.24","238.89","231.25","","1.51%"
"01/02/2013","233.41","234.16","236.76","229.42","","-0.24%"
"01/01/2013","233.98","224.01","235.29","224.00","","4.52%"
"01/12/2012","223.87","218.98","226.18","218.33","","2.25%"
"01/11/2012","218.94","216.54","219.31","207.60","","1.09%"
"01/10/2012","216.59","217.83","223.12","215.59","","-0.67%"
"01/09/2012","218.06","211.67","224.56","209.97","","2.99%"
"01/08/2012","211.73","207.63","215.74","204.44","","1.92%"
"01/07/2012","207.74","205.14","208.79","198.74","","1.27%"
"01/06/2012","205.13","195.87","205.13","190.43","","4.75%"
"01/05/2012","195.82","216.02","217.21","194.48","","-9.35%"
"01/04/2012","216.02","219.29","221.51","210.29","","-1.40%"
"01/03/2012","219.08","218.14","222.42","212.04","","0.33%"
"01/02/2012","218.36","208.23","220.33","207.85","","4.83%"
"01/01/2012","208.29","196.52","210.96","196.39","","5.90%"
"01/12/2011","196.69","197.99","201.73","188.81","","-0.38%"
"01/11/2011","197.44","203.54","204.74","182.85","","-3.32%"
"01/10/2011","204.21","184.20","210.38","174.23","","10.64%"
"01/09/2011","184.57","204.38","205.75","180.12","","-9.74%"
"01/08/2011","204.48","221.23","223.56","188.17","","-7.55%"
"01/07/2011","221.19","225.18","229.28","218.69","","-1.79%"
"01/06/2011","225.21","229.33","229.65","214.87","","-1.71%"
"01/05/2011","229.12","235.12","236.53","221.18","","-2.57%"
"01/04/2011","235.17","226.73","235.43","222.44","","3.87%"
"01/03/2011","226.41","227.23","228.62","211.92","","-0.25%"
"01/02/2011","226.97","221.31","229.35","221.27","","2.66%"
"01/01/2011","221.08","217.63","224.47","215.81","","1.45%"
"01/12/2010","217.93","203.18","218.06","202.98","","7.31%"
"01/11/2010","203.09","208.62","216.67","202.27","","-2.55%"
"01/10/2010","208.41","201.27","211.20","200.76","","3.47%"
"01/09/2010","201.43","183.93","203.38","183.86","","9.48%"
"01/08/2010","183.99","191.29","196.67","181.37","","-3.70%"
"01/07/2010","191.06","176.79","193.47","174.37","","8.02%"
"01/06/2010","176.88","182.56","191.59","174.51","","-3.07%"
"01/05/2010","182.49","202.81","203.06","172.78","","-9.93%"
"01/04/2010","202.61","202.94","210.14","200.37","","-0.02%"
"01/03/2010","202.66","190.78","203.52","190.49","","6.28%"
